Tipo;Ano;Qualis;Autor Principal;Título do Artigo;Periódico/Evento;Aut.Total;Aut.Prof;Aut.Dout;Aut.Mestr;Aut.Grad;Autores - Nomes;PPGC
Conferência;2013;-;Jonas Santos Bezerra;14Factory: Facilitando a disponibilização de novos serviços na nuvem;Terceira Semana de Informática;4;1;0;0;0;"Tássio Augusto da Cruz Guimarães; Vinícius Castro; Tarcisio da Rocha; Jonas Santos Bezerra";Sim
Conferência;2013;B4;Luciana Salete Buriol;A biased random-key genetic algorithm for a network pricing problem;Simpósio Brasileiro de Pesquisa Operacional;3;1;0;0;0;"Fernando Stefanello; Luciana Salete Buriol; Mauricio G.C. Resende";Sim
Conferência;2013;-;Dante Augusto Couto Barone;A CIÊNCIA DA ANTECIPAÇÃO: UM MODELO DE PREDIÇÃO DE INTERAÇÕES EM REDES SOCIAIS;Conferência IADIS Ibero-Americana WWW / internet;2;1;0;0;0;"Marco Aurélio Schünke; Dante Augusto Couto Barone";Sim
Conferência;2013;B4;Liane Margarida Rockenbach Tarouco;A Cloud Monitoring Framework for Self-Configured Monitoring Slices Based on Multiple Tools;International Conference on Network and Services Management;4;2;0;0;0;"Márcio Barbosa de Carvalho; Rafael Pereira Esteves; Lisandro Zambenedetti Granville; Liane Margarida Rockenbach Tarouco";Sim
Periódico;2013;A2;Márcio Dorn;A cluster-DEE-based strategy to empower protein design;Expert Systems with Applications;4;2;1;0;0;"DE ANDRADES, RAFAEL K.; Márcio Dorn; FARENZENA, DANIEL S.; LAMB, LUIS C.";Sim
Periódico;2013;A2;Daniel Scain Farenzena;A cluster-DEE-based strategy to empower protein design;Expert Systems with Applications;4;3;0;0;0;"DE ANDRADES, RAFAEL K.; Dorn, Márcio; Luís da Cunha Lamb; Daniel Scain Farenzena";Sim
Periódico;2013;A2;Luís da Cunha Lamb;A cluster-DEE-based strategy to empower protein design;Expert Systems with Applications;4;2;0;0;0;"DE ANDRADES, RAFAEL K.; Dorn, MÃ¡rcio; Daniel S. Farenzena; LuÃ­s da Cunha Lamb";Sim
Periódico;2013;B1;Jacob Scharcanski;A Coarse-to-Fine Approach for Segmenting Melanocytic SkinLesions in Standard Camera Images;Computer Methods and Programs in Biomedicine (Print);2;1;0;0;0;"CAVALCANTI, PABLO G.; Jacob Scharcanski";Sim
Conferência;2013;-;Antonio Carlos da Rocha Costa;A Communication Infrastructure Based on Artifacts for the JaCaMo Platform;1st International Workshop on Engineering Multiagent Systems @ AAMAS 2013;3;1;0;0;0;"Thiago Fredes Rodrigues; Graçaliz Pereira DIMURO; Antonio Carlos da Rocha Costa";Sim
Conferência;2013;-;Renata Galante;A Computational Tool to Analyze the Evolution of Student Learning;EDULEARN13 - International Conference on Education and New Learning Technologies;4;2;0;0;0;"Cristiano Roberto Cervi; Laís Andressa Brock; Renata Galante; José Palazzo Moreira de Oliveira";Sim
Conferência;2013;-;José Palazzo Moreira de Oliveira;A Computational Tool to Analyze the Evolution of Student Learning;International Conference on Education and New Learning Technologies - EDULEARN;3;1;0;0;0;"Cristiano Roberto Cervi; Renata de Matos Galante; José Palazzo Moreira de Oliveira";Sim
Conferência;2013;-;Joel Luis Carbonera;A Computer Application for Automatic Interpretation of Depositional Process from Visual Descriptions of Sedimentary Facies;AAPG Annual Convention & Exhibition;4;1;0;0;0;"Joel Luis Carbonera; Douglas Eduardo Rosa; Claiton Marlon dos Santos Scherer; ABEL, MARA";Sim
Periódico;2013;-;Eliezer Emanuel Bernart;A concentração da pós-graduação nos grandes centros: um estudo a partir das mesorregiões do Estado de Santa Catarina;Roteiro;2;0;0;1;0;"Luiz Carlos Lückmann; Eliezer Emanuel Bernart";Sim
Conferência;2013;-;Dante Augusto Couto Barone;A construção de espaços e materiais digitais para a educação matemática: a Modelagem Geométrica no Ensino da Geometria;XVIII Congreso Internacional de Informática Educativa;3;1;0;0;0;"Melissa Meier; Dante Augusto Couto Barone; M Basso";Sim
Periódico;2013;B1;Renato Perez Ribas;BTI, HCI and TDDB aging impact in flip-flops;Microelectronics and Reliability;4;2;0;0;0;"Cícero Nunes; BUTZEN, P.F.; REIS, A.I.; Renato Perez Ribas";Não
Conferência;2013;-;Claudio Fernando Resin Geyer;A Distributed Architecture for Dynamic Context Awareness in UbiComp;XI Workshop de Processamento Paralelo e Distribuído, 2013;4;1;0;0;0;"João Ladislau Barbará Lopes; Rodrigo Santos de Souza; Adenauer Correa Yamin; Claudio Fernando Resin Geyer";Sim
